provincia;municipio;estacion;magnitud;punto_muestreo;ano;mes;dia;h01;v01;h02;v02;h03;v03;h04;v04;h05;v05;h06;v06;h07;v07;h08;v08;h09;v09;h10;v10;h11;v11;h12;v12;h13;v13;h14;v14;h15;v15;h16;v16;h17;v17;h18;v18;h19;v19;h20;v20;h21;v21;h22;v22;h23;v23;h24;v24
28;171;1;8;28171001_8_8;2024;9;30;7;T;6;T;5;T;5;T;5;T;5;T;8;T;9;T;8;T;11;T;9;T;6;T;4;T;4;T;3;T;3;T;;N;;N;;N;;N;;N;;N;;N;;N
28;171;1;9;28171001_9_49;2024;9;30;3;T;3;T;2;T;1;T;1;T;1;T;2;T;2;T;1;T;2;T;6;T;11;T;11;T;10;T;7;T;7;T;;N;;N;;N;;N;;N;;N;;N;;N
28;171;1;10;28171001_10_49;2024;9;30;10;T;9;T;9;T;8;T;8;T;8;T;9;T;11;T;10;T;10;T;11;T;14;T;16;T;12;T;10;T;11;T;;N;;N;;N;;N;;N;;N;;N;;N
28;171;1;12;28171001_12_8;2024;9;30;9;T;8;T;7;T;7;T;7;T;7;T;10;T;12;T;11;T;16;T;12;T;8;T;6;T;6;T;5;T;5;T;;N;;N;;N;;N;;N;;N;;N;;N
28;171;1;14;28171001_14_6;2024;9;30;50;T;48;T;40;T;52;T;52;T;52;T;47;T;50;T;65;T;75;T;93;T;110;T;121;T;127;T;131;T;132;T;;N;;N;;N;;N;;N;;N;;N;;N
28;180;1;7;28180001_7_8;2024;9;30;3;T;2;T;1;T;1;T;1;T;13;T;35;T;7;T;2;T;2;T;2;T;1;T;4;T;1;T;1;T;1;T;;N;;N;;N;;N;;N;;N;;N;;N
28;180;1;8;28180001_8_8;2024;9;30;52;T;38;T;24;T;31;T;30;T;53;T;64;T;28;T;11;T;7;T;6;T;4;T;7;T;4;T;4;T;5;T;;N;;N;;N;;N;;N;;N;;N;;N
28;180;1;9;28180001_9_49;2024;9;30;13;T;15;T;12;T;9;T;7;T;6;T;8;T;12;T;9;T;6;T;4;T;5;T;5;T;4;T;6;T;5;T;;N;;N;;N;;N;;N;;N;;N;;N
28;180;1;12;28180001_12_8;2024;9;30;56;T;41;T;26;T;33;T;33;T;73;T;117;T;39;T;14;T;10;T;9;T;6;T;12;T;6;T;6;T;7;T;;N;;N;;N;;N;;N;;N;;N;;N
28;180;1;14;28180001_14_6;2024;9;30;10;T;27;T;39;T;28;T;36;T;12;T;16;T;47;T;71;T;88;T;97;T;104;T;107;T;111;T;114;T;114;T;;N;;N;;N;;N;;N;;N;;N;;N
28;45;2;6;28045002_6_48;2024;9;30;0,3;T;0,3;T;0,3;T;0,3;T;0,5;T;0,6;T;0,6;T;0,4;T;0,4;T;0,4;T;0,4;T;0,7;T;0,7;T;0,4;T;1,5;T;0,5;T;;N;;N;;N;;N;;N;;N;;N;;N
28;45;2;7;28045002_7_8;2024;9;30;1;T;1;T;1;T;1;T;8;T;23;T;46;T;8;T;14;T;6;T;3;T;4;T;5;T;2;T;4;T;3;T;;N;;N;;N;;N;;N;;N;;N;;N
28;45;2;8;28045002_8_8;2024;9;30;15;T;10;T;10;T;13;T;36;T;78;T;92;T;40;T;38;T;23;T;13;T;18;T;15;T;12;T;15;T;22;T;;N;;N;;N;;N;;N;;N;;N;;N
28;45;2;10;28045002_10_49;2024;9;30;11;T;10;T;10;T;9;T;8;T;10;T;15;T;19;T;22;T;25;T;21;T;17;T;16;T;13;T;11;T;10;T;;N;;N;;N;;N;;N;;N;;N;;N
28;45;2;12;28045002_12_8;2024;9;30;17;T;12;T;12;T;15;T;48;T;113;T;162;T;53;T;59;T;32;T;17;T;25;T;22;T;16;T;21;T;26;T;;N;;N;;N;;N;;N;;N;;N;;N
28;45;2;14;28045002_14_6;2024;9;30;84;T;82;T;86;T;83;T;65;T;34;T;23;T;54;T;66;T;90;T;105;T;108;T;116;T;121;T;126;T;126;T;;N;;N;;N;;N;;N;;N;;N;;N
28;47;2;1;28047002_1_38;2024;9;30;2;T;3;T;2;T;2;T;2;T;3;T;3;T;3;T;3;T;2;T;2;T;2;T;2;T;3;T;3;T;3;T;;N;;N;;N;;N;;N;;N;;N;;N
28;47;2;7;28047002_7_8;2024;9;30;1;T;1;T;1;T;3;T;5;T;71;T;128;T;74;T;31;T;2;T;4;T;1;T;1;T;1;T;1;T;1;T;;N;;N;;N;;N;;N;;N;;N;;N
28;47;2;8;28047002_8_8;2024;9;30;43;T;21;T;18;T;39;T;52;T;79;T;82;T;76;T;62;T;19;T;14;T;7;T;7;T;7;T;8;T;7;T;;N;;N;;N;;N;;N;;N;;N;;N
28;47;2;9;28047002_9_49;2024;9;30;1;T;1;T;1;T;4;T;10;T;10;T;12;T;12;T;1;T;1;T;1;T;5;T;17;T;41;T;60;T;68;T;;N;;N;;N;;N;;N;;N;;N;;N
28;47;2;12;28047002_12_8;2024;9;30;45;T;23;T;20;T;44;T;59;T;188;T;277;T;189;T;109;T;22;T;19;T;10;T;10;T;10;T;10;T;9;T;;N;;N;;N;;N;;N;;N;;N;;N
28;47;2;14;28047002_14_6;2024;9;30;15;T;40;T;40;T;19;T;16;T;2;T;1;T;7;T;28;T;85;T;92;T;104;T;110;T;116;T;119;T;120;T;;N;;N;;N;;N;;N;;N;;N;;N
28;47;2;20;28047002_20_59;2024;9;30;1,8;T;1,6;T;1,6;T;1,9;T;3,3;T;3;T;5,2;T;5,8;T;6,2;T;3,9;T;1,8;T;1;T;1,2;T;0,9;T;0,9;T;1,6;T;;N;;N;;N;;N;;N;;N;;N;;N
28;47;2;30;28047002_30_59;2024;9;30;0,3;T;0,3;T;0,2;T;0,1;T;0,5;T;0,5;T;0,9;T;1;T;0,9;T;0,4;T;0,2;T;0,2;T;0,2;T;0,2;T;0,1;T;0,2;T;;N;;N;;N;;N;;N;;N;;N;;N
28;47;2;42;28047002_42_2;2024;9;30;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;47;2;44;28047002_44_2;2024;9;30;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;47;2;431;28047002_431_59;2024;9;30;0,3;T;0,2;T;0,2;T;0,3;T;0,6;T;0,5;T;1,1;T;1,2;T;1;T;0,5;T;0,2;T;0,1;T;0,4;T;0,2;T;0,3;T;0,2;T;;N;;N;;N;;N;;N;;N;;N;;N
28;49;3;7;28049003_7_8;2024;9;30;1;T;2;T;1;T;1;T;4;T;25;T;38;T;45;T;24;T;19;T;6;T;5;T;4;T;3;T;1;T;2;T;;N;;N;;N;;N;;N;;N;;N;;N
28;49;3;8;28049003_8_8;2024;9;30;28;T;30;T;19;T;19;T;30;T;37;T;41;T;40;T;39;T;36;T;23;T;21;T;18;T;15;T;10;T;14;T;;N;;N;;N;;N;;N;;N;;N;;N
28;49;3;9;28049003_9_49;2024;9;30;13;T;13;T;13;T;7;T;9;T;7;T;11;T;16;T;13;T;12;T;6;T;3;T;8;T;6;T;5;T;3;T;;N;;N;;N;;N;;N;;N;;N;;N
28;49;3;10;28049003_10_49;2024;9;30;28;T;22;T;23;T;20;T;17;T;17;T;18;T;34;T;44;T;41;T;44;T;34;T;24;T;24;T;26;T;19;T;;N;;N;;N;;N;;N;;N;;N;;N
28;49;3;12;28049003_12_8;2024;9;30;30;T;33;T;21;T;21;T;36;T;76;T;98;T;108;T;76;T;66;T;32;T;28;T;24;T;20;T;12;T;17;T;;N;;N;;N;;N;;N;;N;;N;;N
28;49;3;14;28049003_14_6;2024;9;30;20;T;11;T;23;T;24;T;8;T;1;T;2;T;4;T;20;T;28;T;63;T;80;T;91;T;103;T;114;T;108;T;;N;;N;;N;;N;;N;;N;;N;;N
28;5;2;1;28005002_1_38;2024;9;30;4;T;5;T;6;T;6;T;6;T;7;T;5;T;7;T;8;T;8;T;7;T;4;T;4;T;4;T;3;T;3;T;;N;;N;;N;;N;;N;;N;;N;;N
28;5;2;6;28005002_6_48;2024;9;30;0,4;T;0,4;T;0,4;T;0,4;T;0,4;T;0,5;T;0,5;T;0,5;T;0,5;T;0,4;T;0,4;T;0,4;T;0,4;T;0,4;T;0,4;T;0,4;T;;N;;N;;N;;N;;N;;N;;N;;N
28;5;2;7;28005002_7_8;2024;9;30;2;T;1;T;2;T;2;T;3;T;7;T;20;T;19;T;19;T;14;T;8;T;4;T;4;T;3;T;2;T;2;T;;N;;N;;N;;N;;N;;N;;N;;N
28;5;2;8;28005002_8_8;2024;9;30;31;T;22;T;25;T;22;T;32;T;43;T;55;T;45;T;39;T;35;T;29;T;18;T;20;T;17;T;14;T;17;T;;N;;N;;N;;N;;N;;N;;N;;N
28;5;2;9;28005002_9_49;2024;9;30;12;T;5;T;6;T;9;T;10;T;9;T;10;T;14;T;15;T;14;T;16;T;16;T;12;T;10;T;7;T;6;T;;N;;N;;N;;N;;N;;N;;N;;N
28;5;2;10;28005002_10_49;2024;9;30;21;T;18;T;12;T;14;T;15;T;17;T;22;T;21;T;24;T;26;T;34;T;19;T;12;T;14;T;13;T;10;T;;N;;N;;N;;N;;N;;N;;N;;N
28;5;2;12;28005002_12_8;2024;9;30;34;T;24;T;28;T;25;T;36;T;55;T;86;T;75;T;68;T;57;T;41;T;24;T;25;T;21;T;17;T;20;T;;N;;N;;N;;N;;N;;N;;N;;N
28;5;2;14;28005002_14_6;2024;9;30;30;T;34;T;28;T;32;T;26;T;14;T;8;T;18;T;27;T;41;T;65;T;94;T;103;T;110;T;114;T;115;T;;N;;N;;N;;N;;N;;N;;N;;N
